,Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Material,FabricType,Decoration,Pattern Type,Recommendation,Spring,Summer,Winter,Autumn
24,1139843344,Sexy,Average,0.0,Medium,Autumn,o-neck,sleeve less,cotton,broadcloth,Missing,print,0,19.0,79.0,66.0,188.0
25,1004212992,Sexy,Average,4.7,Medium,Spring,o-neck,sleeve less,Missing,Missing,Missing,solid,1,1358.0,7888.0,6057.0,16676.0
26,1235426503,Casual,Low,0.0,Large,Summer,o-neck,sleeve less,cotton,jersey,Missing,print,0,42.0,518.0,576.0,1437.0
27,942808364,cute,Low,4.3,Free,Autumn,o-neck,sleeve less,polyster,chiffon,sashes,striped,0,475.0,2288.0,1497.0,4073.0
28,629131530,cute,Low,4.7,Medium,Spring,ruffled,short,chiffonfabric,chiffon,bow,dot,1,7374.0,35577.0,20388.0,55532.0
29,851945460,Casual,Average,4.6,Large,Autumn,o-neck,sleeve less,polyster,chiffon,ruffles,solid,0,1330.0,6871.0,4555.0,12187.0
30,1150275464,Casual,Low,0.0,Medium,Spring,o-neck,sleeve less,silk,chiffon,applique,solid,1,205.0,1265.0,1061.0,2751.0
31,1026634314,Casual,Average,4.4,Large,Autumn,o-neck,sleeve less,Others,chiffon,ruffles,animal,0,931.0,4724.0,3159.0,8284.0
32,978773911,Brief,Average,4.3,Large,Spring,o-neck,sleeve less,Missing,Missing,bow,solid,1,1085.0,5763.0,3988.0,10876.0
33,827791337,party,High,4.7,Medium,Spring,o-neck,three quater,Missing,Missing,Missing,print,0,2313.0,11421.0,7018.0,18757.0
34,640823350,Casual,Low,4.6,Free,Winter,boat-neck,full sleeves,cotton,Missing,Missing,patchwork,1,1595.0,7522.0,4917.0,13872.0
35,801861988,vintage,Average,4.6,Free,Winter,o-neck,full sleeves,Missing,chiffon,Missing,print,1,1730.0,8737.0,5524.0,14441.0
36,1060207186,Brief,Average,0.0,Medium,Autumn,o-neck,short,cotton,Missing,Missing,print,0,50.0,260.0,217.0,668.0
37,1054679816,party,Average,4.6,Medium,Winter,o-neck,sleeve less,cotton,Missing,Others,solid,1,319.0,2635.0,2488.0,6370.0
38,941190190,Casual,Average,4.5,Medium,Spring,v-neck,short,cotton,Missing,Others,solid,1,398.0,2530.0,2173.0,5661.0
39,943844640,Brief,Average,5.0,Free,Spring,v-neck,sleeve less,cotton,broadcloth,Others,solid,1,112.0,655.0,587.0,1415.0
40,661795386,Brief,Low,4.4,Large,Autumn,o-neck,half sleeves,rayon,chiffon,sashes,solid,0,2844.0,14149.0,8697.0,23483.0
41,875312593,Casual,Average,4.8,Medium,Winter,o-neck,short,Others,broadcloth,applique,patchwork,0,555.0,2887.0,2028.0,5590.0
42,971387676,Casual,Low,4.8,Free,Spring,o-neck,sleeve less,cotton,Missing,Missing,print,0,756.0,4109.0,2931.0,7710.0
43,1021185637,vintage,Average,4.8,Medium,Winter,o-neck,sleeve less,cotton,Missing,Missing,patchwork,1,197.0,1021.0,774.0,2152.0
44,1163826114,Sexy,Average,0.0,Medium,Winter,o-neck,short,Missing,Missing,Others,solid,0,48.0,394.0,427.0,1092.0
45,735635595,Sexy,Average,4.8,Large,Spring,v-neck,three quater,polyster,Missing,Others,geometric,0,5484.0,27024.0,16228.0,42820.0
46,1175184188,Casual,Average,0.0,Medium,Summer,o-neck,half sleeves,cotton,chiffon,ruffles,dot,1,23.0,95.0,83.0,216.0
47,679415939,Casual,Low,4.7,Medium,Summer,o-neck,sleeve less,milksilk,Missing,Missing,solid,0,1165.0,5762.0,3662.0,10141.0
48,884147971,Casual,Medium,0.0,Large,Winter,boat-neck,full sleeves,Missing,Missing,Missing,solid,1,4.0,18.0,12.0,34.0
49,841203385,Sexy,Low,5.0,Free,Summer,v-neck,sleeve less,Missing,chiffon,Missing,animal,1,176.0,924.0,688.0,1887.0
50,1117997056,Casual,Low,4.3,Free,Summer,o-neck,sleeve less,milksilk,Missing,Missing,animal,0,198.0,955.0,686.0,1856.0
51,1160536550,Casual,Average,0.0,Large,Spring,o-neck,half sleeves,polyster,chiffon,hollowout,solid,1,44.0,216.0,170.0,497.0
52,828623528,Casual,Average,4.6,Free,Autumn,o-neck,sleeve less,polyster,chiffon,sashes,solid,1,1415.0,7338.0,4627.0,12361.0
53,763708514,sexy,Average,4.5,Medium,Spring,o-neck,three quater,polyster,Missing,Others,geometric,0,766.0,4240.0,3121.0,7805.0
54,1153442065,Others,Average,0.0,Small,Winter,turndowncollor,full sleeves,cotton,Missing,Missing,patchwork,0,182.0,1143.0,1065.0,3032.0
55,743729613,Casual,Average,4.9,Small,Winter,turndowncollor,full sleeves,cotton,Missing,Missing,solid,1,432.0,2456.0,1961.0,5339.0
56,1000493051,sexy,Low,4.6,Large,Autumn,o-neck,sleeve less,Missing,Missing,Others,solid,1,536.0,2660.0,1752.0,4904.0
57,911085061,bohemian,Low,4.5,Medium,Summer,v-neck,sleeve less,polyster,Missing,Missing,print,1,324.0,1612.0,1183.0,3200.0
58,1174854264,work,Average,0.0,Medium,Autumn,slash-neck,sleeve less,polyster,Missing,bow,patchwork,0,23.0,119.0,102.0,258.0
59,1053296757,cute,High,0.0,Medium,Spring,v-neck,full sleeves,rayon,Missing,Missing,solid,1,4.0,17.0,12.0,39.0
60,1033843327,Casual,Average,0.0,Free,Spring,o-neck,short,cotton,Missing,hollowout,Others,0,5.0,37.0,35.0,80.0
61,1083779666,Casual,Average,5.0,Medium,Summer,o-neck,short,polyster,chiffon,Missing,animal,0,57.0,277.0,199.0,582.0
62,746255172,Casual,Average,4.7,Medium,Spring,o-neck,sleeve less,Missing,chiffon,sashes,solid,0,1846.0,9616.0,6282.0,17114.0
63,1100974555,Sexy,Low,4.0,Small,Autumn,o-neck,sleeve less,cotton,Missing,Missing,solid,1,206.0,1327.0,1098.0,2983.0
64,1019134411,Casual,Average,5.0,Medium,Autumn,v-neck,short,cotton,broadcloth,beading,solid,0,513.0,2953.0,2313.0,6222.0
65,1072477320,Casual,Low,0.0,Free,Summer,v-neck,half sleeves,silk,broadcloth,applique,solid,0,308.0,1770.0,1286.0,3358.0
66,638423913,Casual,Medium,4.5,Small,Winter,o-neck,full sleeves,polyster,Missing,Missing,patchwork,1,27.0,128.0,79.0,208.0
67,936425780,work,Average,4.8,Large,Summer,v-neck,short,polyster,Missing,hollowout,solid,0,358.0,1875.0,1365.0,3663.0
68,1146088956,Casual,Medium,0.0,Medium,Autumn,v-neck,short,polyster,Missing,Missing,solid,0,6.0,31.0,24.0,65.0
69,864253055,bohemian,Average,5.0,Free,Summer,v-neck,sleeve less,cotton,Others,Missing,print,1,63.0,375.0,311.0,780.0
70,1210582154,sexy,Low,0.0,Medium,Spring,v-neck,short,polyster,Others,ruffles,solid,1,341.0,2376.0,2807.0,5879.0
71,926480831,Sexy,Average,4.2,Medium,Winter,v-neck,sleeve less,cotton,Others,Missing,solid,0,321.0,1751.0,1301.0,3462.0
72,757260823,Casual,Low,4.8,Free,Spring,o-neck,full sleeves,cotton,worsted,Others,solid,0,33.0,167.0,145.0,398.0
73,630561922,Casual,Low,4.4,Small,Autumn,o-neck,sleeve less,polyster,Missing,Missing,solid,0,867.0,4181.0,2410.0,6336.0
74,734061929,Casual,Low,4.7,Large,Spring,o-neck,short,chiffonfabric,chiffon,bow,dot,0,2377.0,11260.0,6524.0,18090.0
75,842060995,Casual,Average,5.0,Extra large,Winter,boat-neck,full sleeves,cotton,Missing,Missing,geometric,1,21.0,91.0,77.0,220.0
76,1078431253,Casual,Low,0.0,Free,Spring,v-neck,sleeve less,cotton,Missing,Missing,print,0,4.0,24.0,19.0,50.0
77,939770391,Casual,Average,0.0,Free,Spring,o-neck,sleeve less,Missing,chiffon,Missing,solid,0,6.0,26.0,18.0,48.0
78,943188872,bohemian,very-high,4.7,Free,Winter,v-neck,sleeve less,polyster,Missing,Missing,Missing,1,71.0,364.0,240.0,637.0
79,1130994272,Casual,Low,5.0,Medium,Summer,v-neck,sleeve less,polyster,chiffon,ruffles,animal,0,127.0,639.0,414.0,1129.0
80,907117649,party,Average,4.7,Medium,Spring,v-neck,sleeve less,polyster,chiffon,hollowout,solid,0,1226.0,6711.0,4613.0,12163.0
81,967999477,Sexy,Low,5.0,Free,Spring,o-neck,full sleeves,cotton,worsted,Missing,striped,0,305.0,1780.0,1384.0,3749.0
82,944656411,vintage,Low,4.6,Medium,Summer,o-neck,short,Missing,chiffon,Missing,print,0,241.0,1740.0,1492.0,4247.0
83,1096779299,Casual,Average,0.0,Free,Winter,o-neck,half sleeves,polyster,chiffon,hollowout,solid,0,8.0,69.0,84.0,153.0
84,1036333255,Casual,Low,4.9,Large,Summer,boat-neck,short,Missing,chiffon,Missing,patchwork,1,159.0,964.0,776.0,2119.0
85,1065316076,Casual,Low,0.0,Small,Autumn,o-neck,full sleeves,Missing,Missing,beading,solid,1,208.0,1129.0,893.0,2234.0
86,995802744,Sexy,Average,4.0,Small,Autumn,v-neck,sleeve less,rayon,chiffon,Missing,patchwork,1,347.0,1730.0,1204.0,3426.0
87,1018110870,Sexy,Low,5.0,Medium,Autumn,o-neck,full sleeves,Missing,chiffon,Others,print,1,259.0,1417.0,1081.0,2773.0
88,850586379,Brief,Average,4.6,Medium,Winter,Others,three quater,cotton,Missing,Missing,solid,0,281.0,1335.0,976.0,2645.0
89,1169895668,Casual,Average,0.0,Large,Spring,boat-neck,sleeve less,cotton,Missing,applique,patchwork,1,14.0,72.0,59.0,183.0
90,688966772,Casual,Average,4.8,Large,Winter,o-neck,short,cotton,Missing,Others,solid,1,675.0,3481.0,2254.0,5991.0
91,1194626925,Others,Medium,0.0,Medium,Winter,Others,half sleeves,cotton,Missing,sashes,solid,0,15.0,63.0,53.0,158.0
92,876708804,Sexy,Low,4.8,Medium,Spring,o-neck,half sleeves,silk,Missing,Missing,solid,0,88.0,481.0,369.0,1091.0
93,1118628066,Casual,Medium,0.0,Small,Spring,v-neck,full sleeves,Missing,Missing,Missing,animal,1,145.0,666.0,473.0,1404.0
94,1027818824,Casual,Medium,0.0,Medium,Spring,v-neck,three quater,silk,chiffon,ruffles,solid,1,3.0,10.0,6.0,17.0
95,891103323,Casual,Average,0.0,Medium,Spring,o-neck,sleeve less,silk,Missing,Missing,print,0,15.0,100.0,81.0,317.0
96,1166855026,Casual,Average,0.0,Free,Winter,v-neck,full sleeves,Missing,chiffon,ruffles,print,0,11.0,37.0,10.0,11.0
97,1023850025,vintage,Low,4.8,Small,Summer,o-neck,short,Missing,chiffon,ruffles,print,0,191.0,1211.0,1032.0,3130.0
98,805438829,Sexy,Low,4.8,Large,Summer,v-neck,full sleeves,cotton,jersey,applique,print,1,718.0,3723.0,2477.0,6831.0
99,836788720,Others,Average,4.0,Free,Summer,Others,full sleeves,cotton,Missing,sequined,solid,0,19.0,91.0,74.0,211.0
100,835787654,Casual,Average,4.7,Large,Summer,v-neck,short,Missing,Missing,Missing,print,1,263.0,1833.0,1580.0,4155.0
101,1148457078,Casual,Low,0.0,Free,Winter,o-neck,half sleeves,polyster,worsted,Missing,patchwork,1,193.0,1062.0,762.0,2013.0
102,887476609,bohemian,Low,4.8,Free,Summer,o-neck,short,Missing,Missing,Missing,animal,1,551.0,2967.0,2075.0,5644.0
103,535968075,work,Medium,4.6,Large,Winter,Others,short,cotton,Missing,Others,solid,0,1268.0,6366.0,3910.0,10603.0
104,892801580,vintage,Average,4.7,Large,Summer,o-neck,short,cotton,Missing,Others,solid,0,326.0,1669.0,1099.0,2977.0
105,732650169,cute,Low,4.7,Medium,Spring,o-neck,short,polyster,chiffon,ruffles,dot,1,1890.0,9858.0,6218.0,16685.0
106,680070369,Casual,Low,4.6,Free,Autumn,o-neck,full sleeves,cotton,Missing,Missing,solid,1,469.0,2510.0,1725.0,4718.0
107,1002440915,Casual,Medium,0.0,Free,Spring,o-neck,sleeve less,cotton,broadcloth,sequined,solid,1,79.0,365.0,248.0,653.0
108,737538048,Casual,Average,4.7,Large,Autumn,o-neck,half sleeves,Missing,Missing,Others,Missing,0,3466.0,16731.0,9885.0,27461.0
109,1104450248,Sexy,Average,0.0,Large,Autumn,v-neck,sleeve less,Missing,chiffon,Missing,patchwork,0,77.0,620.0,611.0,1762.0
110,797673346,Casual,Low,4.7,Free,Winter,o-neck,sleeve less,cotton,jersey,Missing,solid,1,1261.0,4918.0,2571.0,8267.0
111,1039982741,Casual,Average,0.0,Medium,Autumn,o-neck,short,polyster,Missing,applique,print,0,47.0,148.0,106.0,303.0
112,829087315,cute,Average,4.8,Large,Autumn,slash-neck,sleeve less,Missing,chiffon,hollowout,solid,0,357.0,1877.0,1348.0,3624.0
113,1032990258,party,Average,5.0,Medium,Spring,o-neck,half sleeves,Missing,Missing,Missing,Missing,1,98.0,605.0,491.0,1329.0
114,939422280,cute,Average,4.3,Large,Winter,o-neck,sleeve less,Missing,chiffon,Missing,solid,0,353.0,2223.0,1833.0,4661.0
115,974746803,Casual,Average,4.5,Large,Spring,o-neck,short,cotton,chiffon,Missing,patchwork,0,191.0,1008.0,726.0,1884.0
116,1018130478,Casual,Low,4.7,Large,Autumn,o-neck,full sleeves,cotton,chiffon,Others,print,0,310.0,1703.0,1242.0,3365.0
117,956758119,Casual,Low,4.5,Free,Autumn,v-neck,short,silk,worsted,Others,solid,0,387.0,2071.0,1497.0,3913.0
118,903426442,sexy,Average,3.6,Large,Winter,v-neck,full sleeves,polyster,Others,beading,solid,1,942.0,4749.0,2780.0,
119,861626197,work,Average,4.8,Large,Winter,v-neck,short,mix,broadcloth,Others,solid,0,1166.0,5814.0,3769.0,10090.0
120,1077015977,vintage,Average,0.0,Free,Summer,o-neck,sleeve less,Missing,Missing,Missing,Missing,0,6.0,26.0,20.0,56.0
121,817870237,Sexy,Low,4.6,Free,Spring,o-neck,full sleeves,Missing,Missing,Others,leopard,1,184.0,1053.0,786.0,2201.0
122,1078996836,Sexy,Low,0.0,Free,Winter,v-neck,sleeve less,cotton,chiffon,Missing,solid,1,57.0,385.0,346.0,960.0
123,881530990,work,Average,4.6,Large,Spring,o-neck,short,cotton,jersey,Missing,patchwork,0,599.0,3158.0,2091.0,5667.0
124,937046375,Casual,Average,4.4,Medium,Summer,o-neck,short,Missing,Missing,Others,patchwork,0,268.0,1040.0,569.0,1562.0
125,893330898,Sexy,Low,4.6,Free,Summer,v-neck,sleeve less,cotton,broadcloth,beading,solid,0,383.0,2076.0,1488.0,3905.0
126,822053936,party,Average,4.4,Free,Autumn,v-neck,three quater,Missing,Missing,Missing,solid,0,217.0,1065.0,654.0,1732.0
127,1059959935,Casual,Average,0.0,Free,Spring,o-neck,short,cotton,Missing,Others,Missing,1,3.0,15.0,11.0,24.0
128,1197204708,Casual,Low,0.0,Medium,Summer,v-neck,full sleeves,Others,Missing,Others,solid,0,256.0,1193.0,792.0,2144.0
129,713439584,Sexy,Average,4.6,Medium,Winter,o-neck,full sleeves,polyster,Missing,Missing,patchwork,1,515.0,2652.0,1760.0,4813.0
130,732736124,work,Average,4.6,Medium,Spring,v-neck,full sleeves,Missing,chiffon,Missing,Missing,0,130.0,863.0,702.0,1920.0
131,709353440,cute,Average,4.7,Large,Winter,o-neck,sleeve less,chiffonfabric,Missing,Others,solid,0,280.0,1473.0,1076.0,2982.0
132,1031230798,bohemian,Average,4.7,Large,Autumn,o-neck,sleeve less,Missing,chiffon,Missing,solid,0,139.0,719.0,537.0,1451.0
133,1225512606,cute,High,0.0,Medium,Winter,o-neck,three quater,silk,chiffon,Others,patchwork,0,11.0,42.0,35.0,104.0
134,1158347154,Casual,Average,0.0,Extra large,Winter,o-neck,short,polyster,Missing,Others,solid,0,31.0,309.0,305.0,815.0
135,976975672,Others,Average,4.9,Large,Autumn,o-neck,short,polyster,chiffon,Missing,print,1,101.0,546.0,411.0,1168.0
136,520233308,Casual,Low,4.7,Medium,Autumn,o-neck,full sleeves,cotton,Missing,Missing,solid,0,603.0,3082.0,2047.0,5309.0
137,935827969,cute,Average,4.3,Free,Summer,boat-neck,sleeve less,Missing,Missing,Missing,Missing,1,90.0,491.0,368.0,1003.0
138,1130624045,Sexy,Low,0.0,Free,Autumn,slash-neck,short,Missing,Missing,hollowout,solid,0,19.0,232.0,281.0,546.0
139,547555172,cute,Low,4.7,Extra large,Summer,o-neck,short,chiffonfabric,chiffon,bow,print,0,1322.0,6500.0,3825.0,10125.0
140,1083323104,Sexy,Low,4.5,Large,Spring,o-neck,sleeve less,Missing,Missing,Others,solid,0,322.0,2136.0,1827.0,4545.0
141,955188745,Casual,Average,4.7,Medium,Autumn,o-neck,sleeve less,cotton,Missing,Missing,animal,1,305.0,1552.0,1107.0,2797.0
142,1140306858,Casual,Average,0.0,Large,Spring,boat-neck,sleeve less,cotton,Missing,Others,solid,1,79.0,539.0,524.0,1397.0
143,895807023,cute,Low,4.7,Free,Summer,o-neck,sleeve less,Missing,chiffon,Missing,print,1,399.0,1923.0,1326.0,3703.0
144,818505402,Casual,Low,4.4,Free,Summer,turndowncollor,sleeve less,cotton,Missing,Missing,solid,0,34.0,173.0,137.0,373.0
145,897981100,Casual,Average,4.8,Large,Winter,v-neck,short,polyster,Missing,ruffles,solid,0,69.0,464.0,398.0,1155.0
146,973481686,vintage,Average,4.3,Free,Winter,o-neck,short,chiffonfabric,chiffon,Missing,print,0,548.0,2708.0,1652.0,4397.0
147,1021375534,cute,Low,4.5,Large,Summer,o-neck,sleeve less,cotton,chiffon,sashes,solid,1,411.0,2083.0,1379.0,3682.0
148,549437715,Casual,Average,4.4,Medium,Summer,turndowncollor,sleeve less,chiffonfabric,chiffon,Missing,solid,0,1891.0,9492.0,5741.0,15176.0
149,1097548715,vintage,Medium,0.0,Small,Winter,turndowncollor,half sleeves,cotton,broadcloth,Missing,Others,0,15.0,84.0,64.0,172.0
150,578702321,Sexy,Low,4.7,Free,Summer,turndowncollor,sleeve less,cotton,Missing,Missing,solid,1,59.0,281.0,169.0,485.0
151,1155548915,vintage,High,0.0,Large,Summer,o-neck,short,cotton,Missing,Missing,print,0,6.0,27.0,20.0,56.0
152,1199064757,Casual,Low,0.0,Free,Spring,v-neck,three quater,silk,Missing,Others,Missing,1,2.0,8.0,6.0,16.0
153,1078994436,Sexy,Average,0.0,Small,Autumn,slash-neck,short,Missing,Missing,Others,solid,0,5.0,30.0,25.0,65.0
154,949226757,Casual,Low,0.0,Free,Spring,o-neck,short,Missing,Missing,hollowout,solid,0,64.0,690.0,737.0,2174.0
155,832191944,cute,Medium,5.0,Free,Winter,o-neck,sleeve less,silk,Missing,Others,solid,1,4.0,19.0,15.0,40.0
156,869572905,Casual,Low,4.7,Free,Summer,o-neck,sleeve less,Missing,Missing,Missing,print,0,257.0,1294.0,865.0,2349.0
157,896048351,Sexy,Low,4.8,Free,Spring,v-neck,sleeve less,Missing,Missing,sequined,solid,1,167.0,919.0,706.0,1780.0
158,854444464,Casual,Average,4.5,Large,Winter,o-neck,short,cotton,Missing,bow,patchwork,0,466.0,2327.0,1482.0,4016.0
159,1246749980,vintage,Average,0.0,Small,Spring,o-neck,full sleeves,mix,chiffon,embroidary,print,0,48.0,1324.0,1544.0,3999.0
160,849613634,Casual,Average,3.7,Free,Autumn,boat-neck,full sleeves,Missing,Missing,Missing,solid,1,18.0,85.0,57.0,146.0
161,1019768234,vintage,Average,4.8,Large,Winter,o-neck,sleeve less,cotton,Missing,Missing,patchwork,0,309.0,2066.0,1796.0,4651.0
162,785830491,cute,Average,0.0,Extra large,Spring,boat-neck,full sleeves,cotton,worsted,applique,dot,1,14.0,70.0,57.0,152.0
163,832391864,Casual,Average,0.0,Large,Winter,Others,short,mix,Others,applique,solid,1,36.0,176.0,129.0,364.0
164,1069595866,sexy,Medium,5.0,Medium,Winter,o-neck,sleeve less,polyster,Missing,bow,solid,0,3.0,15.0,10.0,28.0
165,733715437,Brief,Average,4.9,Free,Summer,slash-neck,sleeve less,Missing,Missing,Missing,solid,0,375.0,1862.0,1162.0,3160.0
166,828949946,Casual,High,4.9,Small,Spring,o-neck,three quater,Missing,Missing,Missing,dot,1,363.0,1770.0,1094.0,2933.0
167,765264430,Brief,Average,4.6,Free,Winter,o-neck,full sleeves,mix,Missing,sashes,solid,0,576.0,2969.0,2005.0,5709.0
168,722020708,Casual,Low,4.5,Free,Winter,o-neck,full sleeves,mix,worsted,applique,solid,0,568.0,2887.0,1795.0,4726.0
169,980295760,Casual,Low,4.8,Extra large,Summer,o-neck,short,mix,chiffon,sashes,geometric,0,285.0,1459.0,1017.0,2871.0
170,913978120,Sexy,Medium,4.6,Large,Summer,o-neck,short,Others,jersey,Others,solid,0,900.0,4611.0,2937.0,7913.0
171,1051749304,work,Average,0.0,Small,Autumn,o-neck,sleeve less,Others,Missing,Missing,patchwork,0,17.0,74.0,63.0,182.0
172,1206128856,Casual,Low,0.0,Large,Winter,o-neck,sleeve less,polyster,Missing,Missing,leopard,0,112.0,1488.0,1573.0,3122.0
173,956453735,cute,Low,5.0,Large,Winter,o-neck,three quater,silk,chiffon,sashes,print,0,93.0,454.0,355.0,1004.0
174,767971724,Brief,Average,4.3,Medium,Spring,o-neck,full sleeves,mix,worsted,sequined,patchwork,1,72.0,450.0,378.0,988.0
175,722565148,Sexy,Low,4.4,Free,Autumn,o-neck,full sleeves,cotton,Missing,Missing,leopard,0,868.0,4371.0,2663.0,6846.0
176,1167448608,cute,Low,0.0,Free,Summer,Others,short,cotton,broadcloth,applique,print,0,37.0,196.0,152.0,428.0
177,549159213,Casual,Average,4.5,Free,Summer,o-neck,short,cotton,Missing,Missing,solid,1,259.0,1301.0,834.0,2303.0
178,940918554,Sexy,Low,4.7,Medium,Winter,slash-neck,sleeve less,nylon,Missing,sashes,solid,1,73.0,436.0,369.0,992.0
179,522776523,Casual,Low,4.7,Free,Spring,o-neck,sleeve less,cotton,chiffon,Missing,Others,0,510.0,2557.0,1666.0,4681.0
180,658650071,Casual,Medium,4.8,Medium,Winter,Others,short,polyster,chiffon,Others,patchwork,0,810.0,3840.0,2132.0,5825.0
181,123456789,Sexy,Low,4.3,Free,Winter,v-neck,sleeve less,silk,worsted,Others,solid,1,336.0,1081.0,762.0,2923.0
182,1150052066,bohemian,Average,0.0,Large,Winter,turndowncollor,full sleeves,mix,Missing,Missing,solid,0,187.0,1070.0,903.0,2316.0
184,886351969,cute,Medium,4.8,Free,Spring,slash-neck,sleeve less,polyster,chiffon,sashes,solid,1,443.0,2233.0,1381.0,3736.0
185,1071947910,Sexy,Average,0.0,Small,Autumn,v-neck,sleeve less,cotton,Missing,beading,solid,0,3.0,21.0,15.0,34.0
186,813753347,Casual,Low,4.6,Small,Spring,o-neck,full sleeves,cotton,Missing,Missing,solid,1,1802.0,9159.0,5715.0,14987.0
187,733134203,vintage,Medium,4.7,Free,Spring,turndowncollor,sleeve less,mix,Missing,Others,solid,1,153.0,881.0,692.0,1910.0
188,851256794,work,Low,4.7,Free,Summer,o-neck,full sleeves,cotton,Missing,Missing,solid,0,41.0,194.0,127.0,354.0
189,751049573,cute,Average,4.8,Medium,Summer,o-neck,short,cotton,Missing,Others,solid,0,121.0,569.0,357.0,927.0
190,882490248,cute,Average,0.0,Medium,Summer,o-neck,short,cotton,chiffon,Missing,print,0,284.0,1599.0,1207.0,3192.0
191,541172235,Casual,Average,4.7,Medium,Winter,o-neck,full sleeves,Missing,Missing,Missing,animal,0,736.0,3328.0,2192.0,5961.0
192,727676110,Casual,Low,4.6,Free,Winter,o-neck,full sleeves,polyster,Missing,applique,solid,1,79.0,585.0,568.0,1334.0
193,891631697,party,Average,5.0,Free,Summer,v-neck,sleeve less,Missing,Missing,Missing,Missing,0,113.0,510.0,382.0,1120.0
194,1059306768,Casual,Average,0.0,Free,Summer,v-neck,sleeve less,cotton,chiffon,Missing,patchwork,0,2.0,9.0,7.0,20.0
195,764321904,Sexy,Average,5.0,Large,Winter,o-neck,three quater,polyster,Missing,Others,geometric,0,28.0,186.0,177.0,415.0
196,902108125,Sexy,Average,4.8,Free,Winter,o-neck,sleeve less,polyster,Missing,embroidary,solid,0,169.0,888.0,614.0,1631.0
197,874397327,Casual,Average,4.7,Small,Summer,v-neck,short,cotton,Missing,Missing,dot,0,251.0,1295.0,868.0,2423.0
